DrugName,RiskLevel,AlternativeName,Notes
Ibuprofen,High,Advil,Avoid in CKD stage 4–5; safer alternative is acetaminophen
Gentamicin,High,Garamycin,High nephrotoxicity risk; monitor renal function closely
Metformin,Moderate,Glucophage,Use with caution; contraindicated if eGFR <30
Acetaminophen,Low,Paracetamol,Generally safe; monitor dose in liver disease
Amphotericin B,High,Fungizone,Severe nephrotoxicity; use liposomal formulations if possible
Cisplatin,High,Platinol,High risk; ensure hydration and monitor renal function
Vancomycin,High,Vancocin,Monitor trough levels; adjust dose in CKD
Naproxen,High,Aleve,Avoid in advanced CKD; consider acetaminophen
Diclofenac,High,Voltaren,Avoid in CKD; safer alternative is acetaminophen
Indomethacin,High,Indocin,Avoid in CKD; safer alternative is acetaminophen
Ketorolac,High,Toradol,Short-term use only; avoid in CKD
Amikacin,High,Amikin,High nephrotoxicity risk; monitor renal function
Tobramycin,High,Nebcin,High nephrotoxicity risk; monitor renal function
Piperacillin-Tazobactam,High,Zosyn,Monitor renal function; adjust dose in CKD
Tenofovir,High,Viread,Associated with renal tubular toxicity; monitor renal function
Acyclovir,Moderate,Zovirax,Adjust dose in CKD; monitor renal function
Methotrexate,High,Trexall,High risk; contraindicated in severe CKD
Cyclophosphamide,High,Cytoxan,Monitor renal function; adjust dose if impaired
Hydrochlorothiazide,Moderate,HCTZ,Less effective in advanced CKD; monitor electrolytes
Spironolactone,Moderate,Aldactone,Monitor potassium; risk of hyperkalemia in CKD
Lisinopril,Moderate,Zestril,Monitor potassium and creatinine; risk of hyperkalemia
Enalapril,Moderate,Vasotec,Monitor potassium and creatinine; risk of hyperkalemia
Losartan,Moderate,Cozaar,Monitor potassium and creatinine; risk of hyperkalemia
Omeprazole,Low,Prilosec,Generally safe; rare cases of interstitial nephritis
Pantoprazole,Low,Protonix,Generally safe; rare cases of interstitial nephritis
Atorvastatin,Moderate,Lipitor,Monitor liver and renal function; dose adjustment may be needed
Simvastatin,Moderate,Zocor,Monitor liver and renal function; dose adjustment may be needed
Lithium,High,Eskalith,High nephrotoxicity risk; monitor serum levels and renal function
Allopurinol,Moderate,Zyloprim,Adjust dose in CKD; monitor for hypersensitivity
Tacrolimus,High,Prograf,High nephrotoxicity risk; monitor drug levels and renal function
Cyclosporine,High,Sandimmune,High nephrotoxicity risk; monitor drug levels and renal function
NSAIDs,High,—,Avoid in CKD; safer alternative is acetaminophen
ACE inhibitors,Moderate,—,Monitor potassium and creatinine; risk of hyperkalemia
Diuretics,Moderate,—,Monitor electrolytes; adjust dose in CKD
Furosemide,High,Lasix,Monitor electrolytes; risk of dehydration and renal impairment
Erythromycin,Moderate,Erythrocin,Monitor renal function; adjust dose in CKD
Clarithromycin,Moderate,Biaxin,Monitor renal function; adjust dose in CKD
Azithromycin,Low,Zithromax,Generally safe; monitor renal function if prolonged use
